INSTNM,ADDR,CITY,STABBR,ZIP,CHFNM,CHFTITLE,GENTELE,WEBADDR,APPLURL,LONGITUD,LATITUDE
Pensacola State College,1000 College Blvd,Pensacola,FL,32504-8998,Dr. C. Ed Meadows,President,8504841000,www.pensacolastate.edu,www.pensacolastate.edu/students/gettingStarted.asp,-87.200622,30.480779
Pinellas Technical Education Center-Clearwater,6100 154th Ave N,Clearwater,FL,33760-2140,Mark Ericksen,Director,7.27539E+13,www.myptec.org, ,-82.719064,27.911922
Polk State College,999 Avenue H NE,Winter Haven,FL,33881-4299,Eileen Holden,President,8632971000,www.polk.edu,passport.polk.edu/Genesis/student/applogon.jsp,-81.712932,28.030775
Radford M Locklin Technical Center,5330 Berryhill Rd,Milton,FL,32570-8188,Maria Ladouceur,Principal,8509835700,www.locklintech.com,www.locklintech.com,-87.100567,30.646762
Saint Vincent de Paul Regional Seminary,10701 South Military Trail,Boynton Beach,FL,33436-4899,David Toups,Rector President,5.61732E+12,www.svdp.edu,www.svdp.edu,-80.125707,26.51582
Ridge Career Center,7700 State Rd 544,Winter Haven,FL,33881-9518,Lisa B. Harden,Director,8634193060,www.ridge.edu/,www.ridge.edu/,-81.654463,28.076632
Ringling College of Art and Design,2700 North Tamiami Tr,Sarasota,FL,34234-5895,Dr. Larry R. Thompson,President,8002557695,www.ringling.edu,www.commonapp.org,-82.548598,27.35963
Toni & Guy Hairdressing Academy-Jacksonville,8206 Philips Hwy. Suite33,Jacksonville,FL,32256,Tyler Denton,CFO,9043980502,toniguy.com/academy/jacksonville_academy/default.aspx, ,-81.586731,30.2196
Robert Morgan Educational Center,18180 SW 122nd Ave,Miami,FL,33177,Kimberly Davis,Principal,3052539920,rmec.dadeschools.net, ,-80.390354,25.599133
Rollins College,1000 Holt Avenue,Winter Park,FL,32789-4499,Lewis M. Duncan,President,4076462000,www.rollins.edu,www.rollins.edu/admission/admissioninfo/apply-for-admission.html,-81.348716,28.591992
First Coast Technical College,2980 Collins Ave,Saint Augustine,FL,32084-1919,Sandra Raburn-Fortner,President,9048244401,fctc.edu/,fctc.edu/financial-aid-blank/application-instructions/,-81.345829,29.924377
Saint Leo University,33701 State Road 52,Saint Leo,FL,33574-6665,"Arthur F. Kirk, Jr.",President,3525888200,www.saintleo.edu,www.saintleo.edu/Admissions/Apply-Online,-82.257287,28.336776
St Petersburg College,6021 142nd  Ave N,Clearwater,FL,33760-2822,"Dr. William D. Law, Jr.",President,7273414772,www.spcollege.edu,my.spcollege.edu/psp/ps/EMPLOYEE/EMPL/c/S_SPC_COMPONENTS.S_ONLINEAPPLCNTR.GBL,-82.717331,27.90242
Pinellas Technical Education Center-St Petersburg,901 34th St S,Saint Petersburg,FL,33711-2209,Arlene Corbin,Director,7.27893E+13,myptec.org, ,-82.681534,27.761183
